Date,Sub_name,Fdr_name,Time off,Time on,Delay hrs.,Line_section,new
2016-12-02 00:00:00,Fullerton,Kaluthara North,11:44 h,11:45 h,0.02,Section 1 & 2,overwritten
2016-12-04 00:00:00,Fullerton,Kaluthara North,8:56 h,9:15 h,0.32,Section 1 & 2,overwritten
2016-12-06 00:00:00,Fullerton,Kaluthara North,8:06 h,8:34 h,0.47,Section 1 & 2,overwritten
2016-12-06 00:00:00,Fullerton,Kaluthara North,8:34 h,8:42 h,0.13,Section 2,overwritten
2016-12-08 00:00:00,Fullerton,Kaluthara North,2:12 h,2:13 h,0.02,Section 1 & 2,overwritten
2016-12-13 00:00:00,Fullerton,Kaluthara North,8:21 h,8:27 h,0.1,Section 1 & 2,overwritten
2016-12-14 00:00:00,Fullerton,Kaluthara North,16:47 h,16:48 h,0.02,Section 1 & 2,overwritten
2016-12-16 00:00:00,Fullerton,Kaluthara North,6:21 h,6:27 h,0.1,Section 1 & 2,overwritten
2016-12-19 00:00:00,Fullerton,Kaluthara North,15:19 h,15:45 h,0.43,Section 1 & 2,overwritten
2016-12-19 00:00:00,Fullerton,Kaluthara North,15:45 h,15:52 h,0.12,Section 2,overwritten
2016-12-19 00:00:00,Fullerton,Kaluthara North,17:04 h,17:08 h,0.07,Section 1 & 2,overwritten
2016-12-20 00:00:00,Fullerton,Kaluthara North,8:58 h,9:01 h,0.05,Section 1 & 2,overwritten
2016-12-20 00:00:00,Fullerton,Kaluthara North,14:57 h,15:20 h,0.38,Section 1 & 2,overwritten
2016-12-20 00:00:00,Fullerton,Kaluthara North,15:20 h,15:30 h,0.17,Section 2,overwritten
2017-01-04 00:00:00,Fullerton,Kaluthara North,10:43 h,10:47 h,0.07,Section 1,overwritten
2017-01-06 00:00:00,Fullerton,Kaluthara North,11:12 h,11:24 h,0.2,Section 1,overwritten
2017-01-07 00:00:00,Fullerton,Kaluthara North,12:32 h,12:46 h,0.23,Section 1,overwritten
2017-01-09 00:00:00,Fullerton,Kaluthara North,17:21 h,17:25 h,0.07,Section 2,overwritten
2017-01-14 00:00:00,Fullerton,Kaluthara North,18:44 h,19:22 h,0.63,Section 1 & 2,overwritten
2017-01-19 00:00:00,Fullerton,Kaluthara North,11:05 h,11:14 h,0.15,Section 1 & 2,overwritten
2017-01-23 00:00:00,Fullerton,Kaluthara North,20:42 h,20:46 h,0.07,Section 1 & 2,overwritten
2017-01-27 00:00:00,Fullerton,Kaluthara North,15:11 h,15:21 h,0.17,Section 1 & 2,overwritten
2017-01-27 00:00:00,Fullerton,Kaluthara North,16:08 h,16:39 h,0.52,Section 1 & 2,overwritten
2017-01-27 00:00:00,Fullerton,Kaluthara North,16:39 h,16:46 h,0.12,Section 2,overwritten
2017-01-28 00:00:00,Fullerton,Kaluthara North,21:51 h,22:13 h,0.37,Section 1 & 2,overwritten
2017-01-30 00:00:00,Fullerton,Kaluthara North,22:28 h,22:57 h,0.48,Section 1 & 2,overwritten
2017-01-30 00:00:00,Fullerton,Kaluthara North,22:57 h,22:59 h,0.03,Section 2,overwritten
2017-01-31 00:00:00,Fullerton,Kaluthara North,8:47 h,8:59 h,0.2,Section 1 & 2,overwritten
2017-02-04 00:00:00,Fullerton,Kaluthara North,16:53 h,17:03 h,0.17,Section 1 & 2,overwritten
2017-02-05 00:00:00,Fullerton,Kaluthara North,11:37 h,11:54 h,0.28,Section 1 & 2,overwritten
2017-02-06 00:00:00,Fullerton,Kaluthara North,12:35 h,12:46 h,0.18,Section 1 & 2,overwritten
2017-02-06 00:00:00,Fullerton,Kaluthara North,15:40 h,15:57 h,0.28,Section 1 & 2,overwritten
2017-02-08 00:00:00,Fullerton,Kaluthara North,9:12 h,9:27 h,0.25,Section 1 & 2,overwritten
2017-02-10 00:00:00,Fullerton,Kaluthara North,16:17 h,16:23 h,0.1,Section 1 & 2,overwritten
2017-02-12 00:00:00,Fullerton,Kaluthara North,8:08 h,8:49 h,0.68,Section 1 & 2,overwritten
2017-02-12 00:00:00,Fullerton,Kaluthara North,8:49 h,8:51 h,0.03,Section 2,overwritten
2017-02-16 00:00:00,Fullerton,Kaluthara North,14:53 h,15:14 h,0.35,Section 1 & 2,overwritten
2017-02-16 00:00:00,Fullerton,Kaluthara North,15:36 h,15:41 h,0.08,Section 2,overwritten
2017-02-17 00:00:00,Fullerton,Kaluthara North,11:40 h,11:44 h,0.07,Section 2,overwritten
2017-02-18 00:00:00,Fullerton,Kaluthara North,10:00 h,10:04 h,0.07,Section 1 & 2,overwritten
2017-02-21 00:00:00,Fullerton,Kaluthara North,17:05 h,17:36 h,0.52,Section 1 & 2,overwritten
2017-02-21 00:00:00,Fullerton,Kaluthara North,17:36 h,17:41 h,0.08,Section 2,overwritten
2017-02-23 00:00:00,Fullerton,Kaluthara North,10:04 h,10:11 h,0.12,Section 2,overwritten
2017-02-23 00:00:00,Fullerton,Kaluthara North,9:12 h,9:25 h,0.22,Section 1 & 2,overwritten
2017-02-23 00:00:00,Fullerton,Kaluthara North,9:50 h,10:02 h,0.2,Section 1 & 2,overwritten
2017-02-24 00:00:00,Fullerton,Kaluthara North,9:50 h,9:56 h,0.1,Section 2,overwritten
2017-02-25 00:00:00,Fullerton,Kaluthara North,10:08 h,11:03 h,0.92,Section 1,overwritten
2017-03-02 00:00:00,Fullerton,Kaluthara North,18:05 h,18:17 h,0.2,Section 1,overwritten
2017-03-04 00:00:00,Fullerton,Kaluthara North,23:40 h,23:59 h,0.32,Section 1,overwritten
2017-03-05 00:00:00,Fullerton,Kaluthara North,0:00 h,0:05 h,0.08,Section 1,overwritten
2017-03-11 00:00:00,Fullerton,Kaluthara North,4:25 h,4:30 h,0.08,Section 1,overwritten
2017-03-19 00:00:00,Fullerton,Kaluthara North,8:37 h,9:23 h,0.77,Section 1,overwritten
2017-03-20 00:00:00,Fullerton,Kaluthara North,21:02 h,21:06 h,0.07,Section 2,overwritten
2017-03-21 00:00:00,Fullerton,Kaluthara North,16:04 h,16:19 h,0.25,Section 1 & 2,overwritten
2017-03-25 00:00:00,Fullerton,Kaluthara North,8:43 h,8:46 h,0.05,Section 1 & 2,overwritten
2017-03-25 00:00:00,Fullerton,Kaluthara North,8:46 h,9:49 h,1.05,Section 2,overwritten
2017-03-27 00:00:00,Fullerton,Kaluthara North,11:55 h,12:07 h,0.2,Section 1,overwritten
2017-03-27 00:00:00,Fullerton,Kaluthara North,13:03 h,13:48 h,0.75,Section 2,overwritten
2017-03-31 00:00:00,Fullerton,Kaluthara North,15:27 h,15:33 h,0.1,Section 1,overwritten
2017-04-02 00:00:00,Fullerton,Kaluthara North,7:39 h,8:03 h,0.4,Section 2,overwritten
2017-04-03 00:00:00,Fullerton,Kaluthara North,6:55 h,7:17 h,0.37,Section 2,overwritten
2017-04-06 00:00:00,Fullerton,Kaluthara North,7:46 h,8:45 h,0.98,Section 1,overwritten
2017-04-08 00:00:00,Fullerton,Kaluthara North,10:37 h,11:55 h,1.3,Section 1,overwritten
2017-04-08 00:00:00,Fullerton,Kaluthara North,17:12 h,18:08 h,0.93,Section 1,overwritten
2017-04-13 00:00:00,Fullerton,Kaluthara North,11:51 h,13:36 h,1.75,Section 1,overwritten
2017-04-13 00:00:00,Fullerton,Kaluthara North,13:36 h,14:25 h,0.82,Section 1,overwritten
2017-04-13 00:00:00,Fullerton,Kaluthara North,18:44 h,19:56 h,1.2,Section 1,overwritten
2017-04-16 00:00:00,Fullerton,Kaluthara North,7:08 h,7:13 h,0.08,Section 2,overwritten
